LEMMA,POS,FLAGS,ENTRY,OBSERVED_FORMS,GENERATED_FORMS,SOURCE_POS,PAST_PARTICIPLE_OF,EXACT_FLAG_ALTERNATIVES,REASON,NEAREST_FLAGS,NEAREST_GENERATED_FORMS
donquichotte,NOUN,S.,donquichotte/S. po:NOUN,donquichotte | donquichottes,donquichotte | donquichottes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
dos-d’âne,NOUN,,dos-d’âne po:NOUN,dos-d’âne,dos-d’âne,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
drible,NOUN,S.,drible/S. po:NOUN,drible | dribles,drible | dribles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
dribleur,NOUN,Fs,dribleur/Fs po:NOUN,dribleur | dribleurs | dribleuse | dribleuses,dribleur | dribleurs | dribleuse | dribleuses,NOUN,,Fs,NOUN_HELD_FOR_REVIEW,,
driveur,NOUN,Fs,driveur/Fs po:NOUN,driveur | driveurs | driveuse | driveuses,driveur | driveurs | driveuse | driveuses,NOUN,,Fs,NOUN_HELD_FOR_REVIEW,,
droit-de-l’hommisme,NOUN,S.,droit-de-l’hommisme/S. po:NOUN,droit-de-l’hommisme | droit-de-l’hommismes,droit-de-l’hommisme | droit-de-l’hommismes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
droit-de-l’hommiste,NOUN,S.,droit-de-l’hommiste/S. po:NOUN,droit-de-l’hommiste | droit-de-l’hommistes,droit-de-l’hommiste | droit-de-l’hommistes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
drummeur,NOUN,Fs,drummeur/Fs po:NOUN,drummeur | drummeurs | drummeuse | drummeuses,drummeur | drummeurs | drummeuse | drummeuses,NOUN,,Fs,NOUN_HELD_FOR_REVIEW,,
dû,ADJ,,,due | dues | dû,,ADJ,devoir,,NO_EXACT_AFFIX_PARADIGM,∅ W. Fc Fs X.,∅: dû || W.: dû || Fc: dû || Fs: dû || X.: dû
dyscinésie,NOUN,S.,dyscinésie/S. po:NOUN,dyscinésie | dyscinésies,dyscinésie | dyscinésies,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
écher,VERB,,,èche | èchent | èchera | ècherai | ècheraient | ècherais | ècherait | ècheras | ècherez | ècheriez | ècherions | ècherons | ècheront | èches | écha | échai | échaient | échais | échait | échant | échas | échasse | échassent | échasses | échassiez | échassions | écher | échera | écherai | écheraient | écherais | écherait | écheras | écherez | écheriez | écherions | écherons | écheront | échez | échiez | échions | échons | échâmes | échât | échâtes | échèrent | éché | échée | échées | échés,,VERB VERBpartpast VERBpartpres,,,NO_EXACT_AFFIX_PARADIGM,c0p+ c0p. a0p+ a0p. a6p+,c0p+: èche | èchent | èches | écha | échai | échaient | échais | échait | échant | échas | échasse | échassent | … (39 total) || c0p.: èche | èchent | èches | écha | échai | échaient | échais | échait | échant | échas | échasse | échassent | … (36 total) || a0p+: écha | échai | échaient | échais | échait | échant | échas | échasse | échassent | échasses | échassiez | échassions | … (39 total) || a0p.: écha | échai | échaient | échais | échait | échant | échas | échasse | échassent | échasses | échassiez | échassions | … (36 total) || a6p+: écha | échaient | échait | échant | échassent | échassiez | échassions | éche | échent | écher | échera | écheraient | … (30 total)
èche,NOUN,S.,èche/S. po:NOUN,èche | èches,èche | èches,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
éfendi,NOUN,S.,éfendi/S. po:NOUN,éfendi | éfendis,éfendi | éfendis,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
égosome,NOUN,S.,égosome/S. po:NOUN,égosome | égosomes,égosome | égosomes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
électroponcture,NOUN,S.,électroponcture/S. po:NOUN,électroponcture | électroponctures,électroponcture | électroponctures,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
ellébore,NOUN,S.,ellébore/S. po:NOUN,ellébore | ellébores,ellébore | ellébores,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
ensorcèlement,NOUN,S.,ensorcèlement/S. po:NOUN,ensorcèlement | ensorcèlements,ensorcèlement | ensorcèlements,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
entr’hiverner,VERB,,entr’hiverner po:VERB,entr’hiverner,entr’hiverner,VERB,, tA wB vA yM y1 iC uA wD yL tF iK pK wL iD iE iG xN yD yV iF iR iS pF tG tM wO xC xL xO xP yU aD iI iJ iQ pB pH pJ pS pX pZ rA wM wP wS wT xA xQ yA yB yC yW aA aE aF aH aY aZ dA fA fB fC fD fY iA iB iN iO iP iT iU iV iW iX iY pA pC pE pM pO pP pQ pR pT pU pV pW pY qA rC rD tD tU uC uD vC wA wF wG wR wV xJ xK xM xR yE yF yG yJ yK yN yO yX yY yZ zA zE i0q+ i5q+ wQq+ tEq. wNq. wQq. xSq+ i0q. i5q. pCpD pFpG pHpI pNq+ pNq. rArB tEq+ wNq+ wTwU xSq.,SINGLE_FORM_UNDERDETERMINED,,
épluche-légume,NOUN,S.,épluche-légume/S. po:NOUN,épluche-légume | épluche-légumes,épluche-légume | épluche-légumes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
épyornis,NOUN,,épyornis po:NOUN,épyornis,épyornis,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
erpétologie,NOUN,S.,erpétologie/S. po:NOUN,erpétologie | erpétologies,erpétologie | erpétologies,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
erpétologiste,NOUN,S.,erpétologiste/S. po:NOUN,erpétologiste | erpétologistes,erpétologiste | erpétologistes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
espionite,NOUN,S.,espionite/S. po:NOUN,espionite | espionites,espionite | espionites,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
essuie-main,NOUN,S.,essuie-main/S. po:NOUN,essuie-main | essuie-mains,essuie-main | essuie-mains,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
essuie-meuble,NOUN,S.,essuie-meuble/S. po:NOUN,essuie-meuble | essuie-meubles,essuie-meuble | essuie-meubles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
essuie-pied,NOUN,S.,essuie-pied/S. po:NOUN,essuie-pied | essuie-pieds,essuie-pied | essuie-pieds,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
estrogène,NOUN,S.,estrogène/S. po:NOUN,estrogène | estrogènes,estrogène | estrogènes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
estrogénothérapie,NOUN,S.,estrogénothérapie/S. po:NOUN,estrogénothérapie | estrogénothérapies,estrogénothérapie | estrogénothérapies,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
etcétéra,NOUN,S.,etcétéra/S. po:NOUN,etcétéra | etcétéras,etcétéra | etcétéras,NOUN,,S. F. F+ A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
étincèlement,NOUN,S.,étincèlement/S. po:NOUN,étincèlement | étincèlements,étincèlement | étincèlements,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
euristique,NOUN,S.,euristique/S. po:NOUN,euristique | euristiques,euristique | euristiques,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
exæquo,NOUN,S.,exæquo/S. po:NOUN,exæquo | exæquos,exæquo | exæquos,NOUN,,S. F. F+ A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
exéma,NOUN,S.,exéma/S. po:NOUN,exéma | exémas,exéma | exémas,NOUN,,S. F. F+ A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
exémateux,NOUN,W.,exémateux/W. po:NOUN,exémateuse | exémateuses | exémateux,exémateuse | exémateuses | exémateux,NOUN,,W.,NOUN_HELD_FOR_REVIEW,,
explicateur,NOUN,S.,explicateur/S. po:NOUN,explicateur | explicateurs,explicateur | explicateurs,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
extensionalité,NOUN,S.,extensionalité/S. po:NOUN,extensionalité | extensionalités,extensionalité | extensionalités,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
fanatiseur,NOUN,Fs,fanatiseur/Fs po:NOUN,fanatiseur | fanatiseurs | fanatiseuse | fanatiseuses,fanatiseur | fanatiseurs | fanatiseuse | fanatiseuses,NOUN,,Fs,NOUN_HELD_FOR_REVIEW,,
feda’i,NOUN,,feda’i po:NOUN,feda’i,feda’i,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
fedda’i,NOUN,,fedda’i po:NOUN,fedda’i,fedda’i,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
feedeur,NOUN,S.,feedeur/S. po:NOUN,feedeur | feedeurs,feedeur | feedeurs,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
féérie,NOUN,S.,féérie/S. po:NOUN,féérie | fééries,féérie | fééries,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
fictionalisation,NOUN,S.,fictionalisation/S. po:NOUN,fictionalisation | fictionalisations,fictionalisation | fictionalisations,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
fils,NOUN,,fils po:NOUN,fils,fils,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
fin’amor,NOUN,S.,fin’amor/S. po:NOUN,fin’amor | fin’amors,fin’amor | fin’amors,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
fiord,NOUN,S.,fiord/S. po:NOUN,fiord | fiords,fiord | fiords,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
flippeur,NOUN,S.,flippeur/S. po:NOUN,flippeur | flippeurs,flippeur | flippeurs,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
foirole,NOUN,S.,foirole/S. po:NOUN,foirole | foiroles,foirole | foiroles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
fois,NOUN,,fois po:NOUN,fois,fois,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
fontenier,NOUN,F.,fontenier/F. po:NOUN,fontenier | fonteniers | fontenière | fontenières,fontenier | fonteniers | fontenière | fontenières,NOUN,,F. F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
forté,NOUN,S.,forté/S. po:NOUN,forté | fortés,forté | fortés,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
frais,NOUN,,frais po:NOUN,frais,frais,NOUN,, S. Fs Fc X. W. I. S= Fe Wx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
freezeur,NOUN,S.,freezeur/S. po:NOUN,freezeur | freezeurs,freezeur | freezeurs,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
frésia,NOUN,S.,frésia/S. po:NOUN,frésia | frésias,frésia | frésias,NOUN,,S. F. F+ A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
frisotis,NOUN,,frisotis po:NOUN,frisotis,frisotis,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
fumerole,NOUN,S.,fumerole/S. po:NOUN,fumerole | fumeroles,fumerole | fumeroles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
fusarole,NOUN,S.,fusarole/S. po:NOUN,fusarole | fusaroles,fusarole | fusaroles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
galéace,NOUN,S.,galéace/S. po:NOUN,galéace | galéaces,galéace | galéaces,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
gangréné,ADJ,,gangréné po:ADJ,gangréné,gangréné,ADJ,, W. Fc Fs X. Fx Wx Fe tA a0p+,SINGLE_FORM_UNDERDETERMINED,,
garde-bœuf,NOUN,S.,garde-bœuf/S. po:NOUN,garde-bœuf | garde-bœufs,garde-bœuf | garde-bœufs,NOUN,,S. I. S=,NOUN_HELD_FOR_REVIEW,,
garde-meuble,NOUN,S.,garde-meuble/S. po:NOUN,garde-meuble | garde-meubles,garde-meuble | garde-meubles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
garde-mite,NOUN,S.,garde-mite/S. po:NOUN,garde-mite | garde-mites,garde-mite | garde-mites,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
garde-place,NOUN,S.,garde-place/S. po:NOUN,garde-place | garde-places,garde-place | garde-places,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
garde-rat,NOUN,S.,garde-rat/S. po:NOUN,garde-rat | garde-rats,garde-rat | garde-rats,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
garden-partie,NOUN,S.,garden-partie/S. po:NOUN,garden-partie | garden-parties,garden-partie | garden-parties,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
garrotage,NOUN,S.,garrotage/S. po:NOUN,garrotage | garrotages,garrotage | garrotages,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
gâte-métier,NOUN,S.,gâte-métier/S. po:NOUN,gâte-métier | gâte-métiers,gâte-métier | gâte-métiers,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
gâte-papier,NOUN,S.,gâte-papier/S. po:NOUN,gâte-papier | gâte-papiers,gâte-papier | gâte-papiers,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
géomarkéting,NOUN,S.,géomarkéting/S. po:NOUN,géomarkéting | géomarkétings,géomarkéting | géomarkétings,NOUN,,S. F. F+ A. I. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
gerbéra,NOUN,S.,gerbéra/S. po:NOUN,gerbéra | gerbéras,gerbéra | gerbéras,NOUN,,S. F. F+ A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
girole,NOUN,S.,girole/S. po:NOUN,girole | giroles,girole | giroles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
glaciairiste,NOUN,S.,glaciairiste/S. po:NOUN,glaciairiste | glaciairistes,glaciairiste | glaciairistes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
glécome,NOUN,S.,glécome/S. po:NOUN,glécome | glécomes,glécome | glécomes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
gnognote,NOUN,S.,gnognote/S. po:NOUN,gnognote | gnognotes,gnognote | gnognotes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
golmote,NOUN,S.,golmote/S. po:NOUN,golmote | golmotes,golmote | golmotes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
gougnote,NOUN,S.,gougnote/S. po:NOUN,gougnote | gougnotes,gougnote | gougnotes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
gougnoter,VERB,,gougnoter po:VERB,gougnoter,gougnoter,VERB,, tA wB vA yM y1 iC uA wD yL tF iK pK wL iD iE iG xN yD yV iF iR iS pF tG tM wO xC xL xO xP yU aD iI iJ iQ pB pH pJ pS pX pZ rA wM wP wS wT xA xQ yA yB yC yW aA aE aF aH aY aZ dA fA fB fC fD fY iA iB iN iO iP iT iU iV iW iX iY pA pC pE pM pO pP pQ pR pT pU pV pW pY qA rC rD tD tU uC uD vC wA wF wG wR wV xJ xK xM xR yE yF yG yJ yK yN yO yX yY yZ zA zE i0q+ i5q+ wQq+ tEq. wNq. wQq. xSq+ i0q. i5q. pCpD pFpG pHpI pNq+ pNq. rArB tEq+ wNq+ wTwU xSq.,SINGLE_FORM_UNDERDETERMINED,,
gourelle,NOUN,S.,gourelle/S. po:NOUN,gourelle | gourelles,gourelle | gourelles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
graticiel,NOUN,S.,graticiel/S. po:NOUN,graticiel | graticiels,graticiel | graticiels,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
grelotement,NOUN,S.,grelotement/S. po:NOUN,grelotement | grelotements,grelotement | grelotements,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
grole,NOUN,S.,grole/S. po:NOUN,grole | groles,grole | groles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
grommèlement,NOUN,S.,grommèlement/S. po:NOUN,grommèlement | grommèlements,grommèlement | grommèlements,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
guète,NOUN,S.,guète/S. po:NOUN,guète | guètes,guète | guètes,NOUN,,S. A. S=,NOUN_HELD_FOR_REVIEW,,
guibole,NOUN,S.,guibole/S. po:NOUN,guibole | guiboles,guibole | guiboles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
hach,NOUN,S.,hach/S. po:NOUN,hach | hachs,hach | hachs,NOUN,,S. F+ I. S=,NOUN_HELD_FOR_REVIEW,,
hache-légume,NOUN,S.,hache-légume/S. po:NOUN,hache-légume | hache-légumes,hache-légume | hache-légumes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
hachich,NOUN,S.,hachich/S. po:NOUN,hachich | hachichs,hachich | hachichs,NOUN,,S. F+ I. S=,NOUN_HELD_FOR_REVIEW,,
hachichin,NOUN,F.,hachichin/F. po:NOUN,hachichin | hachichine | hachichines | hachichins,hachichin | hachichine | hachichines | hachichins,NOUN,,F. F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
hachichisme,NOUN,S.,hachichisme/S. po:NOUN,hachichisme | hachichismes,hachichisme | hachichismes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
hackeur,NOUN,Fs,hackeur/Fs po:NOUN,hackeur | hackeurs | hackeuse | hackeuses,hackeur | hackeurs | hackeuse | hackeuses,NOUN,,Fs,NOUN_HELD_FOR_REVIEW,,
haut-de-chausse,NOUN,,haut-de-chausse po:NOUN,haut-de-chausse,haut-de-chausse,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
hauts-de-chausse,NOUN,,hauts-de-chausse po:NOUN,hauts-de-chausse,hauts-de-chausse,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
hors-d’œuvre,NOUN,,hors-d’œuvre po:NOUN,hors-d’œuvre,hors-d’œuvre,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
houligan,NOUN,F.,houligan/F. po:NOUN,houligan | houligane | houliganes | houligans,houligan | houligane | houliganes | houligans,NOUN,,F. F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
houliganisme,NOUN,S.,houliganisme/S. po:NOUN,houliganisme | houliganismes,houliganisme | houliganismes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
hurdleur,NOUN,Fs,hurdleur/Fs po:NOUN,hurdleur | hurdleurs | hurdleuse | hurdleuses,hurdleur | hurdleurs | hurdleuse | hurdleuses,NOUN,,Fs,NOUN_HELD_FOR_REVIEW,,
hyperestrogénie,NOUN,S.,hyperestrogénie/S. po:NOUN,hyperestrogénie | hyperestrogénies,hyperestrogénie | hyperestrogénies,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
hypocagne,NOUN,S.,hypocagne/S. po:NOUN,hypocagne | hypocagnes,hypocagne | hypocagnes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
hypoestrogénie,NOUN,S.,hypoestrogénie/S. po:NOUN,hypoestrogénie | hypoestrogénies,hypoestrogénie | hypoestrogénies,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
iglou,NOUN,S.,iglou/S. po:NOUN,iglou | iglous,iglou | iglous,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
igniponcture,NOUN,S.,igniponcture/S. po:NOUN,igniponcture | igniponctures,igniponcture | igniponctures,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
ilang-ilang,NOUN,,ilang-ilang po:NOUN,ilang-ilang,ilang-ilang,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
ilangs-ilangs,NOUN,,ilangs-ilangs po:NOUN,ilangs-ilangs,ilangs-ilangs,NOUN,, S. Fs Fc X. W. I. S= Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
imanat,NOUN,S.,imanat/S. po:NOUN,imanat | imanats,imanat | imanats,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
impedimenta,NOUN,,,impedimentas,,NOUN,,,NO_EXACT_AFFIX_PARADIGM,S. F. F+ A. S=,S.: impedimenta | impedimentas || F.: impedimenta | impedimentas || F+: impedimenta | impedimentas || A.: impedimenta | impedimentas || S=: impedimenta | impedimentas
indou,NOUN,F.,indou/F. po:NOUN,indou | indoue | indoues | indous,indou | indoue | indoues | indous,NOUN,,F. F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
indouisme,NOUN,S.,indouisme/S. po:NOUN,indouisme | indouismes,indouisme | indouismes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
indouiste,NOUN,S.,indouiste/S. po:NOUN,indouiste | indouistes,indouiste | indouistes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
intension,NOUN,S.,intension/S. po:NOUN,intension | intensions,intension | intensions,NOUN,,S. A. I. S=,NOUN_HELD_FOR_REVIEW,,
intensionnalité,NOUN,S.,intensionnalité/S. po:NOUN,intensionnalité | intensionnalités,intensionnalité | intensionnalités,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
interclub,NOUN,S.,interclub/S. po:NOUN,interclub | interclubs,interclub | interclubs,NOUN,,S. F. F+ A. I. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
iourte,NOUN,S.,iourte/S. po:NOUN,iourte | iourtes,iourte | iourtes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
ipécacuana,NOUN,S.,ipécacuana/S. po:NOUN,ipécacuana | ipécacuanas,ipécacuana | ipécacuanas,NOUN,,S. F. F+ A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
ismaïlien,NOUN,F+,ismaïlien/F+ po:NOUN,ismaïlien | ismaïlienne | ismaïliennes | ismaïliens,ismaïlien | ismaïlienne | ismaïliennes | ismaïliens,NOUN,,F+,NOUN_HELD_FOR_REVIEW,,
jamaïquain,NOUN,F.,jamaïquain/F. po:NOUN,jamaïquain | jamaïquaine | jamaïquaines | jamaïquains,jamaïquain | jamaïquaine | jamaïquaines | jamaïquains,NOUN,,F. F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
je-m’en-fichisme,NOUN,S.,je-m’en-fichisme/S. po:NOUN,je-m’en-fichisme | je-m’en-fichismes,je-m’en-fichisme | je-m’en-fichismes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
je-m’en-fichiste,NOUN,S.,je-m’en-fichiste/S. po:NOUN,je-m’en-fichiste | je-m’en-fichistes,je-m’en-fichiste | je-m’en-fichistes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
je-m’en-foutisme,NOUN,S.,je-m’en-foutisme/S. po:NOUN,je-m’en-foutisme | je-m’en-foutismes,je-m’en-foutisme | je-m’en-foutismes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
je-m’en-foutiste,NOUN,S.,je-m’en-foutiste/S. po:NOUN,je-m’en-foutiste | je-m’en-foutistes,je-m’en-foutiste | je-m’en-foutistes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
jerricane,NOUN,S.,jerricane/S. po:NOUN,jerricane | jerricanes,jerricane | jerricanes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
joailler,NOUN,F.,joailler/F. po:NOUN,joailler | joaillers | joaillère | joaillères,joailler | joaillers | joaillère | joaillères,NOUN,,F. F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
