LEMMA,POS,FLAGS,ENTRY,OBSERVED_FORMS,GENERATED_FORMS,SOURCE_POS,PAST_PARTICIPLE_OF,EXACT_FLAG_ALTERNATIVES,REASON,NEAREST_FLAGS,NEAREST_GENERATED_FORMS
appuis-tête,NOUN,,appuis-tête po:NOUN,appuis-tête,appuis-tête,NOUN,, Fs Fc X. W. Fe Wx Fx yW aA aH pA pB pE tM xC yA yC zA zE a0p+ a0p. i0q+ FsGe b0p+ f0p+ i5q+ pCpD xSq+,NOUN_HELD_FOR_REVIEW,,
apriori,NOUN,S.,apriori/S. po:NOUN,apriori | aprioris,apriori | aprioris,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
arobe,NOUN,S.,arobe/S. po:NOUN,arobe | arobes,arobe | arobes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
arole,NOUN,S.,arole/S. po:NOUN,arole | aroles,arole | aroles,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
artificialisme,NOUN,S.,artificialisme/S. po:NOUN,artificialisme | artificialismes,artificialisme | artificialismes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
aruspice,NOUN,S.,aruspice/S. po:NOUN,aruspice | aruspices,aruspice | aruspices,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
aspartam,NOUN,S.,aspartam/S. po:NOUN,aspartam | aspartams,aspartam | aspartams,NOUN,,S. F+ A. I. S=,NOUN_HELD_FOR_REVIEW,,
assafétida,NOUN,S.,assafétida/S. po:NOUN,assafétida | assafétidas,assafétida | assafétidas,NOUN,,S. F. F+ A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
assoir,VERB,,,asseyaient | asseyais | asseyait | asseyant | asseye | asseyent | asseyes | asseyez | asseyiez | asseyions | asseyons | assied | assieds | assirent | assis | assise | assises | assisse | assissent | assisses | assissiez | assissions | assit | assiéra | assiérai | assiéraient | assiérais | assiérait | assiéras | assiérez | assiériez | assiérions | assiérons | assiéront | assoie | assoient | assoies | assoir | assoira | assoirai | assoiraient | assoirais | assoirait | assoiras | assoirez | assoiriez | assoirions | assoirons | assoiront | assois | assoit | assoyaient | assoyais | assoyait | assoyant | assoyez | assoyiez | assoyions | assoyons | assîmes | assît | assîtes,,VERB VERBpartpast VERBpartpres,,,NO_EXACT_AFFIX_PARADIGM,a0p+ c0p+ d0p+ b0p+ a6p+,a0p+: assoi | assoie | assoies | assoir | assois || c0p+: assoi | assoie | assoies | assoir | assois || d0p+: assoi | assoie | assoies | assoir | assois || b0p+: assoi | assoie | assoies | assoir | assois || a6p+: assoi | assoie | assoies | assoir | assois
astracan,NOUN,S.,astracan/S. po:NOUN,astracan | astracans,astracan | astracans,NOUN,,S. I. S=,NOUN_HELD_FOR_REVIEW,,
autocouchette,NOUN,S.,autocouchette/S. po:NOUN,autocouchette | autocouchettes,autocouchette | autocouchettes,NOUN,,S. F. A. S= F.Gs F.Gc F.Go,NOUN_HELD_FOR_REVIEW,,
