ENTITY,CHARACTER
&x219e; ↞
&Lcaron; Ľ
&317; Ľ
&x013d; Ľ
&Lcedil; Ļ
&315; Ļ
&x013b; Ļ
&Lcy; Л
&1051; Л
&x041b; Л
&LeftAngleBracket; ⟨
&10216; ⟨
&x27e8; ⟨
&LeftArrow; ←
&8592; ←
&x2190; ←
&LeftArrowBar; ⇤
&8676; ⇤
&x21e4; ⇤
&LeftArrowRightArrow; ⇆
&8646; ⇆
&x21c6; ⇆
&LeftCeiling; ⌈
&8968; ⌈
&x2308; ⌈
&LeftDoubleBracket; ⟦
&10214; ⟦
&x27e6; ⟦
&LeftDownTeeVector; ⥡
&10593; ⥡
&x2961; ⥡
&LeftDownVector; ⇃
&8643; ⇃
&x21c3; ⇃
&LeftDownVectorBar; ⥙
&10585; ⥙
&x2959; ⥙
&LeftFloor; ⌊
&8970; ⌊
&x230a; ⌊
&LeftRightArrow; ↔
&8596; ↔
&x2194; ↔
&LeftRightVector; ⥎
&10574; ⥎
&x294e; ⥎
&LeftTee; ⊣
&8867; ⊣
&x22a3; ⊣
&LeftTeeArrow; ↤
&8612; ↤
&x21a4; ↤
&LeftTeeVector; ⥚
&10586; ⥚
&x295a; ⥚
&LeftTriangle; ⊲
&8882; ⊲
&x22b2; ⊲
&LeftTriangleBar; ⧏
&10703; ⧏
&x29cf; ⧏
&LeftTriangleEqual; ⊴
&8884; ⊴
&x22b4; ⊴
&LeftUpDownVector; ⥑
&10577; ⥑
&x2951; ⥑
&LeftUpTeeVector; ⥠
&10592; ⥠
&x2960; ⥠
&LeftUpVector; ↿
&8639; ↿
&x21bf; ↿
&LeftUpVectorBar; ⥘
&10584; ⥘
&x2958; ⥘
&LeftVector; ↼
&8636; ↼
&x21bc; ↼
&LeftVectorBar; ⥒
&10578; ⥒
&x2952; ⥒
&Leftarrow; ⇐
&8656; ⇐
&x21d0; ⇐
&Leftrightarrow; ⇔
&8660; ⇔
&x21d4; ⇔
&LessEqualGreater; ⋚
&8922; ⋚
&x22da; ⋚
&LessFullEqual; ≦
&8806; ≦
&x2266; ≦
&LessGreater; ≶
&8822; ≶
&x2276; ≶
&LessLess; ⪡
&10913; ⪡
&x2aa1; ⪡
&LessSlantEqual; ⩽
&10877; ⩽
&x2a7d; ⩽
&LessTilde; ≲
&8818; ≲
&x2272; ≲
&Lfr; 𝔏
&120079; 𝔏
&x1d50f; 𝔏
&Ll; ⋘
&8920; ⋘
&x22d8; ⋘
&Lleftarrow; ⇚
&8666; ⇚
&x21da; ⇚
&Lmidot; Ŀ
&319; Ŀ
&x013f; Ŀ
&LongLeftArrow; ⟵
&10229; ⟵
&x27f5; ⟵
&LongLeftRightArrow; ⟷
&10231; ⟷
&x27f7; ⟷
&LongRightArrow; ⟶
&10230; ⟶
&x27f6; ⟶
&Longleftarrow; ⟸
&10232; ⟸
&x27f8; ⟸
&Longleftrightarrow; ⟺
&10234; ⟺
&x27fa; ⟺
&Longrightarrow; ⟹
&10233; ⟹
&x27f9; ⟹
&Lopf; 𝕃
&120131; 𝕃
&x1d543; 𝕃
&LowerLeftArrow; ↙
&8601; ↙
&x2199; ↙
&LowerRightArrow; ↘
&8600; ↘
&x2198; ↘
&Lscr; ℒ
&8466; ℒ
&x2112; ℒ
&Lsh; ↰
&8624; ↰
&x21b0; ↰
&Lstrok; Ł
&321; Ł
&x0141; Ł
&Lt; ≪
&8810; ≪
&x226a; ≪
&Map; ⤅
&10501; ⤅
&x2905; ⤅
&Mcy; М
&1052; М
&x041c; М
&MediumSpace;  
&8287;  
&x205f;  
&Mellintrf; ℳ
&8499; ℳ
&x2133; ℳ
&Mfr; 𝔐
&120080; 𝔐
&x1d510; 𝔐
&MinusPlus; ∓
&8723; ∓
&x2213; ∓
&Mopf; 𝕄
&120132; 𝕄
&x1d544; 𝕄
&Mscr; ℳ
&8499; ℳ
&x2133; ℳ
&Mu; Μ
&924; Μ
&x039c; Μ
&NJcy; Њ
&1034; Њ
&x040a; Њ
&Nacute; Ń
&323; Ń
&x0143; Ń
&Ncaron; Ň
&327; Ň
&x0147; Ň
&Ncedil; Ņ
&325; Ņ
&x0145; Ņ
&Ncy; Н
&1053; Н
&x041d; Н
&NegativeMediumSpace; ​
&8203; ​
&x200b; ​
&NegativeThickSpace; ​
&8203; ​
&x200b; ​
&NegativeThinSpace; ​
&8203; ​
&x200b; ​
&NegativeVeryThinSpace; ​
&8203; ​
&x200b; ​
&NestedGreaterGreater; ≫
&8811; ≫
&x226b; ≫
&NestedLessLess; ≪
&8810; ≪
&x226a; ≪
&NewLine; \n
&10; \n
&xa; \n
&x0a; \n
&x000a; \n
&Nfr; 𝔑
&120081; 𝔑
&x1d511; 𝔑
&NoBreak; ⁠
&8288; ⁠
&x2060; ⁠
&NonBreakingSpace;  
&160;  
&xa0;  
&x00a0;  
&Nopf; ℕ
&8469; ℕ
&x2115; ℕ
&Not; ⫬
&10988; ⫬
&x2aec; ⫬
&NotCongruent; ≢
&8802; ≢
&x2262; ≢
&NotCupCap; ≭
&8813; ≭
&x226d; ≭
&NotDoubleVerticalBar; ∦
&8742; ∦
&x2226; ∦
&NotElement; ∉
&8713; ∉
&x2209; ∉
&NotEqual; ≠
&8800; ≠
&x2260; ≠
&NotEqualTilde; ≂̸
&8770; ≂̸
&x2242; ≂̸
