ae-oe,æ-œ
oeilletonnages,œilletonnages
oeilletonnai,œilletonnai
oeilletonnaient,œilletonnaient
oeilletonnais,œilletonnais
oeilletonnait,œilletonnait
oeilletonnâmes,œilletonnâmes
oeilletonnant,œilletonnant
oeilletonnas,œilletonnas
oeilletonnasse,œilletonnasse
oeilletonnassent,œilletonnassent
oeilletonnasses,œilletonnasses
oeilletonnassiez,œilletonnassiez
oeilletonnassions,œilletonnassions
oeilletonnât,œilletonnât
oeilletonnâtes,œilletonnâtes
oeilletonne,œilletonne
oeilletonné,œilletonné
oeilletonné,œilletonné
oeilletonnée,œilletonnée
oeilletonnée,œilletonnée
oeilletonnées,œilletonnées
oeilletonnées,œilletonnées
oeilletonnent,œilletonnent
oeilletonner,œilletonner
oeilletonnera,œilletonnera
oeilletonnerai,œilletonnerai
oeilletonneraient,œilletonneraient
oeilletonnerais,œilletonnerais
oeilletonnerait,œilletonnerait
oeilletonneras,œilletonneras
oeilletonnèrent,œilletonnèrent
oeilletonnerez,œilletonnerez
oeilletonneriez,œilletonneriez
oeilletonnerions,œilletonnerions
oeilletonnerons,œilletonnerons
oeilletonneront,œilletonneront
oeilletonnes,œilletonnes
oeilletonnés,œilletonnés
oeilletonnés,œilletonnés
oeilletonnez,œilletonnez
oeilletonniez,œilletonniez
oeilletonnions,œilletonnions
oeilletonnons,œilletonnons
oeilletons,œilletons
oeillets,œillets
oeillette,œillette
oeillettes,œillettes
oeillez,œillez
oeilliez,œilliez
oeillions,œillions
oeillons,œillons
oeils,œils
oeils-de-boeuf,œils-de-bœuf
oeils-de-chat,œils-de-chat
oeils-de-perdrix,œils-de-perdrix
oeils-de-pie,œils-de-pie
oekoumène,œkoumène
oekoumènes,œkoumènes
oenanthe,œnanthe
oenanthes,œnanthes
oenanthique,œnanthique
oenanthiques,œnanthiques
oenilisme,œnilisme
oenilismes,œnilismes
oenolique,œnolique
oenoliques,œnoliques
oenolisme,œnolisme
oenolismes,œnolismes
oenologie,œnologie
oenologies,œnologies
oenologique,œnologique
oenologiques,œnologiques
oenologue,œnologue
