fr-reforme1990_only,fr-classique_only
ferryboats,ferry-boats
festnoz,fest-noz
fèverole,féverole
fèveroles,féveroles
fiftyfifty,fifty-fifty
fisheye,fish-eye
fisheyes,fish-eyes
flafla,fla-fla
flaflas,fla-flas
flashback,flash-back
flèchera,fléchera
flècherai,flécherai
flècheraient,flécheraient
flècherais,flécherais
flècherait,flécherait
flècheras,flécheras
flècherez,flécherez
flècheriez,flécheriez
flècherions,flécherions
flècherons,flécherons
flècheront,flécheront
flockbook,flock-book
flockbooks,flock-books
fluta,flûta
flutai,flûtai
flutaient,flûtaient
flutais,flûtais
flutait,flûtait
flutâmes,flûtâmes
flutant,flûtant
flutas,flûtas
flutasse,flûtasse
flutassent,flûtassent
flutasses,flûtasses
flutassiez,flûtassiez
flutassions,flûtassions
flutât,flûtât
flutâtes,flûtâtes
fluteau,flûteau
fluteaux,flûteaux
flutée,flûtée
flutées,flûtées
flutent,flûtent
fluter,flûter
flutera,flûtera
fluterai,flûterai
fluteraient,flûteraient
fluterais,flûterais
fluterait,flûterait
fluteras,flûteras
flutèrent,flûtèrent
fluterez,flûterez
fluteriez,flûteriez
fluterions,flûterions
fluterons,flûterons
fluteront,flûteront
flutez,flûtez
flutiau,flûtiau
flutiaux,flûtiaux
flutiez,flûtiez
flutions,flûtions
flutiste,flûtiste
flutistes,flûtistes
flutons,flûtons
fluvioglaciaire,fluvio-glaciaire
fluvioglaciaires,fluvio-glaciaires
fourretout,fourre-tout
foxterrier,fox-terrier
foxterriers,fox-terriers
foxtrot,fox-trot
fraiche,fraîche
fraichement,fraîchement
fraiches,fraîches
fraicheur,fraîcheur
fraicheurs,fraîcheurs
fraichi,fraîchi
fraichîmes,fraîchîmes
fraichin,fraîchin
fraichins,fraîchins
fraichir,fraîchir
fraichira,fraîchira
fraichirai,fraîchirai
fraichiraient,fraîchiraient
fraichirais,fraîchirais
fraichirait,fraîchirait
fraichiras,fraîchiras
fraichirent,fraîchirent
fraichirez,fraîchirez
fraichiriez,fraîchiriez
fraichirions,fraîchirions
fraichirons,fraîchirons
fraichiront,fraîchiront
fraichis,fraîchis
fraichissaient,fraîchissaient
fraichissais,fraîchissais
fraichissait,fraîchissait
fraichissant,fraîchissant
fraichissante,fraîchissante
fraichissantes,fraîchissantes
fraichissants,fraîchissants
fraichisse,fraîchisse
fraichissent,fraîchissent
fraichisses,fraîchisses
fraichissez,fraîchissez
fraichissiez,fraîchissiez
fraichissions,fraîchissions
fraichissons,fraîchissons
fraichîtes,fraîchîtes
freejazz,free-jazz
freelance,free-lance
freelances,free-lances
freemartin,free-martin
freemartins,free-martins
freeshop,free-shop
freeshops,free-shops
frètera,frétera
frèterai,fréterai
frèteraient,fréteraient
frèterais,fréterais
frèterait,fréterait
frèteras,fréteras
frèterez,fréterez
frèteriez,fréteriez
frèterions,fréterions
frèterons,fréterons
frèteront,fréteront
fricfrac,fric-frac
frontotemporal,fronto-temporal
frontotemporale,fronto-temporale
frontotemporales,fronto-temporales
frontotemporaux,fronto-temporaux
fueloil,fuel-oil
fueloils,fuel-oils
fussè,fussé
futier,fûtier
futiers,fûtiers
futs,fûts
gageüre,gageure
gageüres,gageures
gagnepetit,gagne-petit
gaillèterie,gailleterie
gaillèteries,gailleteries
gaiment,gaîment
gaité,gaîté
gaités,gaîtés
galèrera,galérera
galèrerai,galérerai
galèreraient,galéreraient
galèrerais,galérerais
galèrerait,galérerait
galèreras,galéreras
galèrerez,galérerez
galèreriez,galéreriez
galèrerions,galérerions
galèrerons,galérerons
galèreront,galéreront
ganadéria,ganaderia
ganadérias,ganaderias
gangréna,gangrena
gangrénai,gangrenai
gangrénaient,gangrenaient
gangrénais,gangrenais
gangrénait,gangrenait
gangrénâmes,gangrenâmes
gangrénant,gangrenant
gangrénas,gangrenas
gangrénasse,gangrenasse
gangrénassent,gangrenassent
gangrénasses,gangrenasses
gangrénassiez,gangrenassiez
gangrénassions,gangrenassions
gangrénât,gangrenât
gangrénâtes,gangrenâtes
gangrénée,gangrenée
gangrénées,gangrenées
gangréner,gangrener
gangrénèrent,gangrenèrent
gangrénés,gangrenés
gangréneuse,gangreneuse
gangréneuses,gangreneuses
gangréneux,gangreneux
gangrénez,gangrenez
gangréniez,gangreniez
gangrénions,gangrenions
gangrénons,gangrenons
gastroentérite,gastro-entérite
gastroentérites,gastro-entérites
gastroentérologie,gastro-entérologie
gastroentérologies,gastro-entérologies
gastroentérologue,gastro-entérologue
gastroentérologues,gastro-entérologues
gastroœsophagien,gastro-œsophagien
gastroœsophagienne,gastro-œsophagienne
gastroœsophagiennes,gastro-œsophagiennes
gastroœsophagiens,gastro-œsophagiens
gélatinobromure,gélatino-bromure
gélatinobromures,gélatino-bromures
gélatinochlorure,gélatino-chlorure
gélatinochlorures,gélatino-chlorures
génèrera,générera
génèrerai,générerai
génèreraient,généreraient
génèrerais,générerais
génèrerait,générerait
génèreras,généreras
génèrerez,générerez
génèreriez,généreriez
génèrerions,générerions
génèrerons,générerons
génèreront,généreront
gèrera,gérera
gèrerai,gérerai
gèreraient,géreraient
gèrerais,gérerais
gèrerait,gérerait
gèreras,géreras
gèrerez,gérerez
gèreriez,géreriez
gèrerions,gérerions
gèrerons,gérerons
gèreront,géreront
gigacandéla,gigacandela
gigacandélas,gigacandelas
gigawéber,gigaweber
gigawébers,gigawebers
git,gît
gita,gîta
gitage,gîtage
gitages,gîtages
gitai,gîtai
gitaient,gîtaient
gitais,gîtais
gitait,gîtait
gitâmes,gîtâmes
gitant,gîtant
gitas,gîtas
gitasse,gîtasse
gitassent,gîtassent
gitasses,gîtasses
gitassiez,gîtassiez
gitassions,gîtassions
gitât,gîtât
gitâtes,gîtâtes
gitent,gîtent
giter,gîter
gitera,gîtera
giterai,gîterai
giteraient,gîteraient
giterais,gîterais
giterait,gîterait
giteras,gîteras
gitèrent,gîtèrent
giterez,gîterez
giteriez,gîteriez
giterions,gîterions
giterons,gîterons
giteront,gîteront
gites,gîtes
gitez,gîtez
gitiez,gîtiez
gitions,gîtions
gitologie,gîtologie
gitologies,gîtologies
glènera,glénera
glènerai,glénerai
glèneraient,gléneraient
glènerais,glénerais
glènerait,glénerait
glèneras,gléneras
glènerez,glénerez
glèneriez,gléneriez
glènerions,glénerions
glènerons,glénerons
glèneront,gléneront
globetrotteur,globe-trotteur
globetrotteurs,globe-trotteurs
globetrotteuse,globe-trotteuse
globetrotteuses,globe-trotteuses
glossopharyngien,glosso-pharyngien
glossopharyngienne,glosso-pharyngienne
glossopharyngiennes,glosso-pharyngiennes
glossopharyngiens,glosso-pharyngiens
gobelèterie,gobeleterie
gobelèteries,gobeleteries
goulument,goulûment
gout,goût
gouta,goûta
goutai,goûtai
goutaient,goûtaient
goutais,goûtais
goutait,goûtait
goutâmes,goûtâmes
goutant,goûtant
goutas,goûtas
goutasse,goûtasse
goutassent,goûtassent
goutasses,goûtasses
goutassiez,goûtassiez
goutassions,goûtassions
goutât,goûtât
goutâtes,goûtâtes
goutée,goûtée
goutées,goûtées
goutent,goûtent
gouter,goûter
goutera,goûtera
gouterai,goûterai
gouteraient,goûteraient
gouterais,goûterais
gouterait,goûterait
gouteras,goûteras
goutèrent,goûtèrent
gouterez,goûterez
gouteriez,goûteriez
gouterions,goûterions
gouterons,goûterons
gouteront,goûteront
gouters,goûters
gouteur,goûteur
gouteurs,goûteurs
gouteuse,goûteuse
gouteuses,goûteuses
gouteux,goûteux
goute-vin,goûte-vin
goutez,goûtez
goutiez,goûtiez
goutions,goûtions
goutons,goûtons
gouts,goûts
gouzigouzi,gouzi-gouzi
grainèterie,graineterie
grainèteries,graineteries
grèsera,grésera
grèserai,gréserai
grèseraient,gréseraient
grèserais,gréserais
grèserait,gréserait
grèseras,gréseras
grèserez,gréserez
grèseriez,gréseriez
grèserions,gréserions
grèserons,gréserons
grèseront,gréseront
guérilléro,guérillero
guérilléros,guérilleros
guiliguili,guili-guili
guilleméta,guillemeta
guillemétai,guillemetai
guillemétaient,guillemetaient
guillemétais,guillemetais
guillemétait,guillemetait
guillemétâmes,guillemetâmes
guillemétant,guillemetant
guillemétas,guillemetas
guillemétasse,guillemetasse
guillemétassent,guillemetassent
guillemétasses,guillemetasses
guillemétassiez,guillemetassiez
guillemétassions,guillemetassions
guillemétât,guillemetât
guillemétâtes,guillemetâtes
guillemétée,guillemetée
guillemétées,guillemetées
guilleméter,guillemeter
guillemétèrent,guillemetèrent
guillemétez,guillemetez
guillemétiez,guillemetiez
guillemétions,guillemetions
guillemétons,guillemetons
guttapercha,gutta-percha
habanéra,habanera
habanéras,habaneras
halftrack,half-track
halftracks,half-tracks
harakiri,hara-kiri
harakiris,hara-kiris
hardrock,hard-rock
hardrocks,hard-rocks
hautecontre,haute-contre
hautefidélité,haute-fidélité
hautelisse,haute-lisse
hautelissier,haute-lissier
hautelissière,haute-lissière
hautelissières,haute-lissières
hautelissiers,haute-lissiers
hauteville,haute-ville
hautparleur,haut-parleur
hautparleurs,haut-parleurs
hébètement,hébétement
hébètements,hébétements
hébètera,hébétera
hébèterai,hébéterai
hébèteraient,hébéteraient
hébèterais,hébéterais
hébèterait,hébéterait
hébèteras,hébéteras
hébèterez,hébéterez
hébèteriez,hébéteriez
hébèterions,hébéterions
hébèterons,hébéterons
hébèteront,hébéteront
hectocandéla,hectocandela
hectocandélas,hectocandelas
hectowéber,hectoweber
hectowébers,hectowebers
hèlera,hélera
hèlerai,hélerai
hèleraient,héleraient
hèlerais,hélerais
hèlerait,hélerait
hèleras,héleras
hèlerez,hélerez
hèleriez,héleriez
hèlerions,hélerions
hèlerons,hélerons
hèleront,héleront
hématoencéphalique,hémato-encéphalique
hématoencéphaliques,hémato-encéphaliques
herdbook,herd-book
herdbooks,herd-books
hérédosyphilis,hérédo-syphilis
hérédosyphilitique,hérédo-syphilitique
hérédosyphilitiques,hérédo-syphilitiques
héroïcomique,héroï-comique
héroïcomiques,héroï-comiques
hifi,hi-fi
hightech,high-tech
hihan,hi-han
hitparade,hit-parade
hitparades,hit-parades
holdup,hold-up
homejacking,home-jacking
homejackings,home-jackings
homoépitaxie,homo-épitaxie
homoépitaxies,homo-épitaxies
horseguard,horse-guard
horseguards,horse-guards
horsepower,horse-power
horsepox,horse-pox
hotdog,hot-dog
hotdogs,hot-dogs
huitre,huître
huitres,huîtres
huitrier,huîtrier
huitrière,huîtrière
huitrières,huîtrières
huitriers,huîtriers
hydrogènera,hydrogénera
hydrogènerai,hydrogénerai
hydrogèneraient,hydrogéneraient
hydrogènerais,hydrogénerais
hydrogènerait,hydrogénerait
hydrogèneras,hydrogéneras
hydrogènerez,hydrogénerez
hydrogèneriez,hydrogéneriez
hydrogènerions,hydrogénerions
hydrogènerons,hydrogénerons
hydrogèneront,hydrogéneront
hygiénodiététique,hygiéno-diététique
hygiénodiététiques,hygiéno-diététiques
hyposcénium,hyposcenium
hyposcéniums,hyposceniums
hypothalamohypophysaire,hypothalamo-hypophysaire
hypothalamohypophysaires,hypothalamo-hypophysaires
hypothèquera,hypothéquera
hypothèquerai,hypothéquerai
hypothèqueraient,hypothéqueraient
hypothèquerais,hypothéquerais
hypothèquerait,hypothéquerait
hypothèqueras,hypothéqueras
hypothèquerez,hypothéquerez
hypothèqueriez,hypothéqueriez
hypothèquerions,hypothéquerions
hypothèquerons,hypothéquerons
hypothèqueront,hypothéqueront
hypothéticodéductif,hypothético-déductif
hypothéticodéductifs,hypothético-déductifs
hypothéticodéductive,hypothético-déductive
hypothéticodéductives,hypothético-déductives
icefield,ice-field
icefields,ice-fields
ile,île
iléocolique,iléo-colique
iléocoliques,iléo-coliques
iléocæcal,iléo-cæcal
iléocæcale,iléo-cæcale
iléocæcales,iléo-cæcales
iléocæcaux,iléo-cæcaux
iles,îles
ilet,îlet
ilets,îlets
ilien,îlien
ilienne,îlienne
iliennes,îliennes
iliens,îliens
ilot,îlot
ilotage,îlotage
ilotages,îlotages
ilotier,îlotier
ilotière,îlotière
ilotières,îlotières
ilotiers,îlotiers
ilots,îlots
imbrulable,imbrûlable
imbrulables,imbrûlables
imbrulé,imbrûlé
imbrulée,imbrûlée
imbrulées,imbrûlées
imbrulés,imbrûlés
immaitrisable,immaîtrisable
immaitrisables,immaîtrisables
impédimenta,impedimenta
impérium,imperium
impériums,imperiums
impètrera,impétrera
impètrerai,impétrerai
impètreraient,impétreraient
impètrerais,impétrerais
impètrerait,impétrerait
impètreras,impétreras
impètrerez,impétrerez
impètreriez,impétreriez
impètrerions,impétrerions
impètrerons,impétrerons
impètreront,impétreront
imprègnera,imprégnera
imprègnerai,imprégnerai
imprègneraient,imprégneraient
imprègnerais,imprégnerais
imprègnerait,imprégnerait
imprègneras,imprégneras
imprègnerez,imprégnerez
imprègneriez,imprégneriez
imprègnerions,imprégnerions
imprègnerons,imprégnerons
imprègneront,imprégneront
incarcèrera,incarcérera
incarcèrerai,incarcérerai
incarcèreraient,incarcéreraient
incarcèrerais,incarcérerais
incarcèrerait,incarcérerait
incarcèreras,incarcéreras
incarcèrerez,incarcérerez
incarcèreriez,incarcéreriez
incarcèrerions,incarcérerions
incarcèrerons,incarcérerons
incarcèreront,incarcéreront
incinèrera,incinérera
incinèrerai,incinérerai
incinèreraient,incinéreraient
incinèrerais,incinérerais
incinèrerait,incinérerait
incinèreras,incinéreras
incinèrerez,incinérerez
incinèreriez,incinéreriez
incinèrerions,incinérerions
incinèrerons,incinérerons
incinèreront,incinéreront
incongrument,incongrûment
indiffèrera,indifférera
indiffèrerai,indifférerai
indiffèreraient,indifféreraient
indiffèrerais,indifférerais
indiffèrerait,indifférerait
indiffèreras,indifféreras
indiffèrerez,indifférerez
indiffèreriez,indifféreriez
indiffèrerions,indifférerions
indiffèrerons,indifférerons
indiffèreront,indifféreront
indument,indûment
infèrera,inférera
infèrerai,inférerai
infèreraient,inféreraient
infèrerais,inférerais
infèrerait,inférerait
infèreras,inféreras
infèrerez,inférerez
infèreriez,inféreriez
infèrerions,inférerions
infèrerons,inférerons
infèreront,inféreront
infogèrera,infogérera
infogèrerai,infogérerai
infogèreraient,infogéreraient
infogèrerais,infogérerais
infogèrerait,infogérerait
infogèreras,infogéreras
infogèrerez,infogérerez
infogèreriez,infogéreriez
infogèrerions,infogérerions
infogèrerons,infogérerons
infogèreront,infogéreront
infolio,in-folio
ingèrera,ingérera
ingèrerai,ingérerai
ingèreraient,ingéreraient
ingèrerais,ingérerais
ingèrerait,ingérerait
ingèreras,ingéreras
ingèrerez,ingérerez
ingèreriez,ingéreriez
ingèrerions,ingérerions
ingèrerons,ingérerons
ingèreront,ingéreront
inoctavo,in-octavo
inplano,in-plano
inquarto,in-quarto
inquiètera,inquiétera
inquièterai,inquiéterai
inquièteraient,inquiéteraient
inquièterais,inquiéterais
inquièterait,inquiéterait
inquièteras,inquiéteras
inquièterez,inquiéterez
inquièteriez,inquiéteriez
inquièterions,inquiéterions
inquièterons,inquiéterons
inquièteront,inquiéteront
insèrera,insérera
insèrerai,insérerai
insèreraient,inséreraient
insèrerais,insérerais
insèrerait,insérerait
insèreras,inséreras
insèrerez,insérerez
insèreriez,inséreriez
insèrerions,insérerions
insèrerons,insérerons
insèreront,inséreront
intègrera,intégrera
intègrerai,intégrerai
intègreraient,intégreraient
intègrerais,intégrerais
intègrerait,intégrerait
intègreras,intégreras
intègrerez,intégrerez
intègreriez,intégreriez
intègrerions,intégrerions
intègrerons,intégrerons
intègreront,intégreront
intercèdera,intercédera
intercèderai,intercéderai
intercèderaient,intercéderaient
intercèderais,intercéderais
intercèderait,intercéderait
intercèderas,intercéderas
intercèderez,intercéderez
intercèderiez,intercéderiez
intercèderions,intercéderions
intercèderons,intercéderons
intercèderont,intercéderont
interfèrera,interférera
interfèrerai,interférerai
interfèreraient,interféreraient
interfèrerais,interférerais
interfèrerait,interférerait
interfèreras,interféreras
interfèrerez,interférerez
interfèreriez,interféreriez
interfèrerions,interférerions
interfèrerons,interférerons
interfèreront,interféreront
interpénètrera,interpénétrera
interpénètrerai,interpénétrerai
interpénètreraient,interpénétreraient
interpénètrerais,interpénétrerais
interpénètrerait,interpénétrerait
interpénètreras,interpénétreras
interpénètrerez,interpénétrerez
interpénètreriez,interpénétreriez
interpénètrerions,interpénétrerions
interpénètrerons,interpénétrerons
interpénètreront,interpénétreront
interprètera,interprétera
interprèterai,interpréterai
interprèteraient,interpréteraient
interprèterais,interpréterais
interprèterait,interpréterait
interprèteras,interpréteras
interprèterez,interpréterez
interprèteriez,interpréteriez
interprèterions,interpréterions
interprèterons,interpréterons
interprèteront,interpréteront
intraartériel,intra-artériel
intraartérielle,intra-artérielle
intraartérielles,intra-artérielles
intraartériels,intra-artériels
intraarticulaire,intra-articulaire
intraarticulaires,intra-articulaires
intraatomique,intra-atomique
intraatomiques,intra-atomiques
intraauriculaire,intra-auriculaire
intraauriculaires,intra-auriculaires
intraembryonnaire,intra-embryonnaire
intraembryonnaires,intra-embryonnaires
intraeuropéen,intra-européen
intraeuropéenne,intra-européenne
intraeuropéennes,intra-européennes
intraeuropéens,intra-européens
intramuros,intra-muros
invétèrera,invétérera
invétèrerai,invétérerai
invétèreraient,invétéreraient
invétèrerais,invétérerais
invétèrerait,invétérerait
invétèreras,invétéreras
invétèrerez,invétérerez
invétèreriez,invétéreriez
invétèrerions,invétérerions
invétèrerons,invétérerons
invétèreront,invétéreront
itèrera,itérera
itèrerai,itérerai
itèreraient,itéreraient
itèrerais,itérerais
itèrerait,itérerait
itèreras,itéreras
itèrerez,itérerez
itèreriez,itéreriez
itèrerions,itérerions
itèrerons,itérerons
itèreront,itéreront
jamborée,jamboree
jamborées,jamborees
jeanfoutre,jean-foutre
jetset,jet-set
jetsets,jet-sets
jetsetteur,jet-setteur
jetsetteurs,jet-setteurs
jetsetteuse,jet-setteuse
jetsetteuses,jet-setteuses
jetski,jet-ski
jetskis,jet-skis
jetstream,jet-stream
jetstreams,jet-streams
jiujitsu,jiu-jitsu
kakémono,kakemono
kakémonos,kakemonos
kébab,kebab
kébabs,kebabs
kiésérite,kiesérite
kiésérites,kiesérites
kifkif,kif-kif
kilocandéla,kilocandela
kilocandélas,kilocandelas
kilomètrera,kilométrera
kilomètrerai,kilométrerai
kilomètreraient,kilométreraient
kilomètrerais,kilométrerais
kilomètrerait,kilométrerait
kilomètreras,kilométreras
kilomètrerez,kilométrerez
kilomètreriez,kilométreriez
kilomètrerions,kilométrerions
kilomètrerons,kilométrerons
kilomètreront,kilométreront
kilowéber,kiloweber
kilowébers,kilowebers
knockdown,knock-down
knockout,knock-out
kouignamann,kouign-amann
kouignamanns,kouign-amanns
kungfu,kung-fu
lacèrera,lacérera
lacèrerai,lacérerai
lacèreraient,lacéreraient
lacèrerais,lacérerais
lacèrerait,lacérerait
lacèreras,lacéreras
lacèrerez,lacérerez
lacèreriez,lacéreriez
lacèrerions,lacérerions
lacèrerons,lacérerons
lacèreront,lacéreront
laiche,laîche
laiches,laîches
latéré,latere
lèchera,léchera
lècherai,lécherai
lècheraient,lécheraient
lècherais,lécherais
lècherait,lécherait
lècheras,lécheras
lècherez,lécherez
lècheriez,lécheriez
lècherions,lécherions
lècherons,lécherons
lècheront,lécheront
légato,legato
légatos,legatos
légifèrera,légiférera
légifèrerai,légiférerai
légifèreraient,légiféreraient
légifèrerais,légiférerais
légifèrerait,légiférerait
légifèreras,légiféreras
légifèrerez,légiférerez
légifèreriez,légiféreriez
légifèrerions,légiférerions
légifèrerons,légiférerons
légifèreront,légiféreront
lèguera,léguera
lèguerai,léguerai
lègueraient,légueraient
lèguerais,léguerais
lèguerait,léguerait
lègueras,légueras
lèguerez,léguerez
lègueriez,légueriez
lèguerions,léguerions
lèguerons,léguerons
lègueront,légueront
lèsera,lésera
lèserai,léserai
lèseraient,léseraient
lèserais,léserais
lèserait,léserait
lèseras,léseras
lèserez,léserez
lèseriez,léseriez
lèserions,léserions
lèserons,léserons
lèseront,léseront
libèrera,libérera
libèrerai,libérerai
libèreraient,libéreraient
libèrerais,libérerais
libèrerait,libérerait
libèreras,libéreras
libèrerez,libérerez
libèreriez,libéreriez
libèrerions,libérerions
libèrerons,libérerons
libèreront,libéreront
libéroligneuse,libéro-ligneuse
libéroligneuses,libéro-ligneuses
libéroligneux,libéro-ligneux
liègera,liégera
liègerai,liégerai
liègeraient,liégeraient
liègerais,liégerais
liègerait,liégerait
liègeras,liégeras
liègerez,liégerez
liègeriez,liégeriez
liègerions,liégerions
liègerons,liégerons
liègeront,liégeront
lieudit,lieu-dit
lockout,lock-out
lockouta,lock-outa
lockoutai,lock-outai
lockoutaient,lock-outaient
lockoutais,lock-outais
lockoutait,lock-outait
lockoutâmes,lock-outâmes
lockoutant,lock-outant
lockoutas,lock-outas
lockoutasse,lock-outasse
lockoutassent,lock-outassent
lockoutasses,lock-outasses
lockoutassiez,lock-outassiez
lockoutassions,lock-outassions
lockoutât,lock-outât
lockoutâtes,lock-outâtes
lockoutée,lock-outée
lockoutées,lock-outées
lockoutent,lock-outent
lockouter,lock-outer
lockoutera,lock-outera
lockouterai,lock-outerai
lockouteraient,lock-outeraient
lockouterais,lock-outerais
lockouterait,lock-outerait
lockouteras,lock-outeras
lockoutèrent,lock-outèrent
lockouterez,lock-outerez
lockouteriez,lock-outeriez
lockouterions,lock-outerions
lockouterons,lock-outerons
lockouteront,lock-outeront
lockoutez,lock-outez
lockoutiez,lock-outiez
lockoutions,lock-outions
lockoutons,lock-outons
logetout,loge-tout
logicomathématique,logico-mathématique
logicomathématiques,logico-mathématiques
logicopositivisme,logico-positivisme
logicopositivismes,logico-positivismes
lombosacré,lombo-sacré
lombosacrée,lombo-sacrée
lombosacrées,lombo-sacrées
lombosacrés,lombo-sacrés
louvèterie,louveterie
louvèteries,louveteries
ludoéducatif,ludo-éducatif
ludoéducatifs,ludo-éducatifs
ludoéducative,ludo-éducative
ludoéducatives,ludo-éducatives
lunisolaire,luni-solaire
lunisolaires,luni-solaires
macèrera,macérera
macèrerai,macérerai
macèreraient,macéreraient
macèrerais,macérerais
macèrerait,macérerait
macèreras,macéreras
macèrerez,macérerez
macèreriez,macéreriez
macèrerions,macérerions
macèrerons,macérerons
macèreront,macéreront
macroordinateur,macro-ordinateur
macroordinateurs,macro-ordinateurs
macroorganisme,macro-organisme
macroorganismes,macro-organismes
maerl,maërl
maerls,maërls
magnétooptique,magnéto-optique
magnétooptiques,magnéto-optiques
mainforte,main-forte
maitre,maître
maitre-à-danser,maître-à-danser
maitre-assistant,maître-assistant
maitre-assistante,maître-assistante
maitre-autel,maître-autel
maitre-chien,maître-chien
maitre-coq,maître-coq
maitre-esclave,maître-esclave
maitre-mot,maître-mot
maitre-nageur,maître-nageur
maitre-penseur,maître-penseur
maitre-queux,maître-queux
maitres,maîtres
maitres-à-danser,maîtres-à-danser
maitres-assistantes,maîtres-assistantes
maitres-assistants,maîtres-assistants
maitres-autels,maîtres-autels
maitres-chiens,maîtres-chiens
maitres-coqs,maîtres-coqs
maitres-mots,maîtres-mots
maitres-nageurs,maîtres-nageurs
maitres-penseurs,maîtres-penseurs
maitres-queux,maîtres-queux
maitresse,maîtresse
maitresses,maîtresses
maitrisa,maîtrisa
maitrisable,maîtrisable
maitrisables,maîtrisables
maitrisai,maîtrisai
maitrisaient,maîtrisaient
maitrisais,maîtrisais
maitrisait,maîtrisait
maitrisâmes,maîtrisâmes
maitrisant,maîtrisant
maitrisas,maîtrisas
maitrisasse,maîtrisasse
maitrisassent,maîtrisassent
maitrisasses,maîtrisasses
maitrisassiez,maîtrisassiez
maitrisassions,maîtrisassions
maitrisât,maîtrisât
maitrisâtes,maîtrisâtes
maitrisée,maîtrisée
maitrisées,maîtrisées
maitrisent,maîtrisent
maitriser,maîtriser
maitrisera,maîtrisera
maitriserai,maîtriserai
maitriseraient,maîtriseraient
maitriserais,maîtriserais
maitriserait,maîtriserait
maitriseras,maîtriseras
maitrisèrent,maîtrisèrent
maitriserez,maîtriserez
maitriseriez,maîtriseriez
maitriserions,maîtriserions
maitriserons,maîtriserons
maitriseront,maîtriseront
maitrisez,maîtrisez
maitrisiez,maîtrisiez
maitrisions,maîtrisions
maitrisons,maîtrisons
majong,ma-jong
majongs,ma-jongs
malaimé,mal-aimé
malaimée,mal-aimée
malaimées,mal-aimées
malaimés,mal-aimés
malêtre,mal-être
maljugé,mal-jugé
maljugés,mal-jugés
manègera,manégera
manègerai,manégerai
manègeraient,manégeraient
manègerais,manégerais
manègerait,manégerait
manègeras,manégeras
manègerez,manégerez
manègeriez,manégeriez
manègerions,manégerions
manègerons,manégerons
manègeront,manégeront
mangetout,mange-tout
mangeüre,mangeure
mangeüres,mangeures
maniacodépressif,maniaco-dépressif
maniacodépressifs,maniaco-dépressifs
maniacodépressive,maniaco-dépressive
maniacodépressives,maniaco-dépressives
manièrera,maniérera
manièrerai,maniérerai
manièreraient,maniéreraient
manièrerais,maniérerais
manièrerait,maniérerait
manièreras,maniéreras
manièrerez,maniérerez
manièreriez,maniéreriez
manièrerions,maniérerions
manièrerons,maniérerons
manièreront,maniéreront
maraichage,maraîchage
maraichages,maraîchages
maraicher,maraîcher
maraichère,maraîchère
maraichères,maraîchères
maraichers,maraîchers
maraichin,maraîchin
maraichine,maraîchine
maraichines,maraîchines
maraichins,maraîchins
matchplay,match-play
matchplays,match-plays
maxillodentaire,maxillo-dentaire
maxillodentaires,maxillo-dentaires
maxillofacial,maxillo-facial
maxillofaciale,maxillo-faciale
maxillofaciales,maxillo-faciales
maxillofaciaux,maxillo-faciaux
méaculpa,mea-culpa
mécanosouda,mécano-souda
mécanosoudai,mécano-soudai
mécanosoudaient,mécano-soudaient
mécanosoudais,mécano-soudais
mécanosoudait,mécano-soudait
mécanosoudâmes,mécano-soudâmes
mécanosoudant,mécano-soudant
mécanosoudas,mécano-soudas
mécanosoudasse,mécano-soudasse
mécanosoudassent,mécano-soudassent
mécanosoudasses,mécano-soudasses
mécanosoudassiez,mécano-soudassiez
mécanosoudassions,mécano-soudassions
mécanosoudât,mécano-soudât
mécanosoudâtes,mécano-soudâtes
mécanosoudée,mécano-soudée
mécanosoudées,mécano-soudées
mécanosoudent,mécano-soudent
mécanosouder,mécano-souder
mécanosoudera,mécano-soudera
mécanosouderai,mécano-souderai
mécanosouderaient,mécano-souderaient
mécanosouderais,mécano-souderais
mécanosouderait,mécano-souderait
mécanosouderas,mécano-souderas
mécanosoudèrent,mécano-soudèrent
mécanosouderez,mécano-souderez
mécanosouderiez,mécano-souderiez
mécanosouderions,mécano-souderions
mécanosouderons,mécano-souderons
mécanosouderont,mécano-souderont
mécanosoudez,mécano-soudez
mécanosoudiez,mécano-soudiez
mécanosoudions,mécano-soudions
mécanosoudons,mécano-soudons
mécanosoudure,mécano-soudure
mécanosoudures,mécano-soudures
mèchera,méchera
mècherai,mécherai
mècheraient,mécheraient
mècherais,mécherais
mècherait,mécherait
mècheras,mécheras
mècherez,mécherez
mècheriez,mécheriez
mècherions,mécherions
mècherons,mécherons
mècheront,mécheront
méconnait,méconnaît
méconnaitra,méconnaîtra
méconnaitrai,méconnaîtrai
méconnaitraient,méconnaîtraient
méconnaitrais,méconnaîtrais
méconnaitrait,méconnaîtrait
méconnaitras,méconnaîtras
méconnaitre,méconnaître
méconnaitrez,méconnaîtrez
méconnaitriez,méconnaîtriez
méconnaitrions,méconnaîtrions
méconnaitrons,méconnaîtrons
méconnaitront,méconnaîtront
médersa,medersa
médersas,medersas
médicochirurgical,médico-chirurgical
médicochirurgicale,médico-chirurgicale
médicochirurgicales,médico-chirurgicales
médicochirurgicaux,médico-chirurgicaux
médicolégal,médico-légal
médicolégale,médico-légale
médicolégales,médico-légales
médicolégaux,médico-légaux
médicopédagogique,médico-pédagogique
médicopédagogiques,médico-pédagogiques
médicoprofessionnel,médico-professionnel
