source	code	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/1911_rod.xml	1911_rod	Rod, Édouard (1857-1910)	1911	Stendhal (3e édition) / par Edouard Rod	http://gallica.bnf.fr/ark:/12148/bpt6k6579571x	Hachette (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/rod_essai-sur-goethe.xml	1898_rod	Rod,Edouard (1857-1910)	1898	Essai sur Gœthe	http://obvil.paris-sorbonne.fr/corpus/critique/rod_essai-sur-goethe/	
http://obvil.github.io/critique2000/tei/1909_rodet.xml	1909_rodet	Rodet, Henri	1909	Le “Contrat social” et les idées politiques de J.-J. Rousseau / par Henri Rodet	http://gallica.bnf.fr/ark:/12148/bpt6k5477140x	A. Rousseau (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/roederer_memoires-societe-polie.xml	1835_rœderer	Rœderer, Pierre-Louis (1754-1835)	1835	Mémoire pour servir à l’histoire de la société polie en France	http://obvil.paris-sorbonne.fr/corpus/critique/roederer_memoires-societe-polie	
http://obvil.github.io/critique2000/tei/1879_ronsard.xml	1879_ronsard	Ronsard, Pierre de (1524-1585)	1879	Oeuvres choisies / de P. de Ronsard ; avec notice, notes et commentaires par C.-A. Sainte-Beuve ; Nouvelle édition, revue et augmentée par M. Louis Moland	http://gallica.bnf.fr/ark:/12148/bpt6k58080079	Garnier frères (Paris)
http://obvil.github.io/critique2000/tei/1852_roqueplan.xml	1852_roqueplan	Roqueplan, Nestor (1805-1870)	1852	Critique du Juif-errant : Roqueplan embêté par Jules Janin	http://gallica.bnf.fr/ark:/12148/bpt6k5789726b	[s.n.] (Paris)
http://obvil.github.io/critique2000/tei/1910_rosa.xml	1910_rosa	Rosa, Andriès de	1910	Saint-Georges de Bouhélier et le naturisme / par Andriès de Rosa...	http://gallica.bnf.fr/ark:/12148/bpt6k5772441j	A. Messein (Paris)
http://obvil.github.io/critique2000/tei/1901_rosny.xml	1901_rosny	Rosny, Léon de (1837-1914)	1901	Feuilles de “momidzi” : études sur l'histoire, la littérature, les sciences et les arts des Japonais / par Léon de Rosny	http://gallica.bnf.fr/ark:/12148/bpt6k5426297c	E. Leroux (Paris)
http://obvil.github.io/critique2000/tei/1889_rossel_1.xml	1889_rossel_1	Rossel, Virgile (1858-1933)	1889	Histoire littéraire de la Suisse romande des origines à nos jours. Tome 1 / par Virgile Rossel...	http://gallica.bnf.fr/ark:/12148/bpt6k62570430	H. Georg (Genève)
http://obvil.github.io/critique2000/tei/1889_rossel_2.xml	1889_rossel_2	Rossel, Virgile (1858-1933)	1889	Histoire littéraire de la Suisse romande des origines à nos jours. Tome 2 / par Virgile Rossel...	http://gallica.bnf.fr/ark:/12148/bpt6k62573787	H. Georg (Genève)
http://obvil.github.io/critique2000/tei/1921_rostand.xml	1921_rostand	Rostand, Edmond (1868-1918)	1921	Deux romanciers de Provence, Honoré d'Urfé et Émile Zola : le roman sentimental et le roman naturaliste / Edmond Rostand	http://gallica.bnf.fr/ark:/12148/bpt6k206826	E. Champion (Paris)
http://obvil.github.io/critique2000/tei/1863_rousseau-jb.xml	1863_rousseau-jb	Rousseau, Jean Baptiste (1829-1891)	1863	Les Coups d'épée dans l'eau, par Jean Rousseau	http://gallica.bnf.fr/ark:/12148/bpt6k5695520z	Michel-Lévy (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/ryner_massacre-amazones.xml	1890_ryner	Ryner, Han (1861-1938)	1890	Le massacre des amazones	http ://obvil.paris-sorbonne.fr/corpus/critique/ryner_massacre-amazones	
http://obvil-dev.paris-sorbonne.fr/corpus/critique/ryner_prostitues.xml	1904_ryner	Ryner, Han (1861-1938)	1904	Prostitués : études critiques sur les gens de lettres d’aujourd’hui	http ://obvil.paris-sorbonne.fr/corpus/critique/ryner_prostitues	
http://obvil.github.io/critique2000/tei/1926_ryner.xml	1926_ryner	Ryner, Han (1861-1938)	1926	L'ingénieux Hidalgo Miguel Cervantès (2e édition) / Han Ryner	http://gallica.bnf.fr/ark:/12148/bpt6k62106535	G. Crès et Cie (Paris)
http://obvil.github.io/critique2000/tei/1888_rzewuski.xml	1888_rzewuski	Rzewuski, Stanislas (1864-1913)	1888	Études littéraires : Henry Becque, Paul Bourget, Gabriel Séailles, Guy de Maupassant / Cte Stanislas Rzewusk	http://gallica.bnf.fr/ark:/12148/bpt6k113996d	Librairie de la “Revue indépendante” (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/sacy_rapport-progres-lettres.xml	1868_sacy	Sacy, Samuel Silvestre de (1801-1879)	1868	Rapport sur le progrès des lettres	http://obvil.paris-sorbonne.fr/corpus/critique/sacy_rapport/	
http://obvil.github.io/critique2000/tei/1927_sainean.xml	1927_sainean	Sainean, Lazare (1859-1934)	1927	Problèmes littéraires du seizième siècle : “Le cinquième livre”, “Le moyen de parvenir”, “Les joyeux devis” / L. Sainéan	http://gallica.bnf.fr/ark:/12148/bpt6k1139985	E. de Boccard (Paris)
http://obvil.github.io/critique2000/tei/1822_saint-marcgirardin.xml	1822_saint-marcgirardin	Saint-Marc Girardin (1801-1873)	1822	Éloge de Lesage, par M. St-Marc Girardin...	http://gallica.bnf.fr/ark:/12148/bpt6k5624291r	impr. de F. Didot (Paris)
http://obvil.github.io/critique2000/tei/1827_saint-marcgirardin.xml	1827_saint-marcgirardin	Saint-Marc Girardin (1801-1873)	1827	Éloge de Bossuet, discours... par M. Saint-Marc Girardin,...	http://gallica.bnf.fr/ark:/12148/bpt6k96096679	impr. de F. Didot (Paris)
http://obvil.github.io/critique2000/tei/1835_saint-marcgirardin.xml	1835_saint-marcgirardin	Saint-Marc Girardin (1801-1873)	1835	Notices politiques et littéraires sur l'Allemagne / par M. Saint-Marc Girardin,...	http://gallica.bnf.fr/ark:/12148/bpt6k255895f	Prévost-Crocius (Paris)
http://obvil.github.io/critique2000/tei/1836_saint-marcgirardin.xml	1836_saint-marcgirardin	Saint-Marc Girardin (1801-1873)	1836	Sténographie des cours de diverses facultés de Paris. , Cours de poésie française : 1re- [4e] leçon [Voltaire] : année scolaire 1835-1836, semestre d'été / M. Saint-Marc-Girardin,...	http://gallica.bnf.fr/ark:/12148/bpt6k9616827t	Ebrard (Paris)
http://obvil.github.io/critique2000/tei/1862_saint-marcgirardin.xml	1862_saint-marcgirardin	Saint-Marc Girardin (1801-1873)	1862	Tableau de la littérature française au XVIe siècle, suivi d'études sur la littérature du Moyen âge et de la Renaissance, par M. Saint-Marc Girardin,...	http://gallica.bnf.fr/ark:/12148/bpt6k64640054	Didier (Paris)
http://obvil.github.io/critique2000/tei/1863_saint-marcgirardin.xml	1863_saint-marcgirardin	Saint-Marc Girardin (1801-1873)	1863	Essais de littérature et de morale. Tome 2 / par Saint-Marc Girardin,...	http://gallica.bnf.fr/ark:/12148/bpt6k9602103g	Charpentier (Paris)
http://obvil.github.io/critique2000/tei/1875_saint-marcgirardin.xml	1875_saint-marcgirardin	Saint-Marc Girardin (1801-1873)	1875	Jean-Jacques Rousseau. Sa vie et ses ouvrages avec une introduction ; par M. Ernest Bersot,... (11 janvier 1875.)	http://gallica.bnf.fr/ark:/12148/bpt6k96320170	Charpentier (Paris)
http://obvil.github.io/critique2000/tei/1876_saint-marc-girardin.xml	1876_saint-marc-girardin	Saint-Marc Girardin (1801-1873)	1876	Essais de littérature et de morale. Tome 1 / par Saint-Marc Girardin,...	http://gallica.bnf.fr/ark:/12148/bpt6k9610553d	Charpentier (Paris)
http://obvil.github.io/critique2000/tei/1886_saint-marcgirardin_3.xml	1886_saint-marcgirardin_3	Saint-Marc Girardin (1801-1873)	1886	Cours de littérature dramatique ou De l'usage des passions dans le drame. T. 3 / Saint-Marc Girardin	http://gallica.bnf.fr/ark:/12148/bpt6k2137947	G. Charpentier (Paris)
http://obvil.github.io/critique2000/tei/1886_saint-marcgirardin_4.xml	1886_saint-marcgirardin_4	Saint-Marc Girardin (1801-1873)	1886	Cours de littérature dramatique ou De l'usage des passions dans le drame. T. 4 / Saint-Marc Girardin	http://gallica.bnf.fr/ark:/12148/bpt6k213795m	G. Charpentier (Paris)
http://obvil.github.io/critique2000/tei/1830_saint-renetaillandier.xml	1830_saint-renetaillandier	Saint-René Taillandier (1817-1879)	1830	Des écrivains sacrés du dix-septième siècle : discours prononcé à l'ouverture du cours de littérature française à la Faculté des lettres de Strasbourg / par M. Saint-René Taillandier	http://gallica.bnf.fr/ark:/12148/bpt6k72945b	impr. de Vve Berger-Levrault (Strasbourg)
http://obvil.github.io/critique2000/tei/1848_saint-renetaillandier.xml	1848_saint-renetaillandier	Saint-René Taillandier (1817-1879)	1848	Histoire de la jeune Allemagne : études littéraires / par M. Saint-René Taillandier,...	http://gallica.bnf.fr/ark:/12148/bpt6k6298653v	A. Franck (Paris)
http://obvil.github.io/critique2000/tei/1861_saint-renetaillandier.xml	1861_saint-renetaillandier	Saint-René Taillandier (1817-1879)	1861	Littérature étrangère. Écrivains et poètes modernes, par Saint-René Taillandier	http://gallica.bnf.fr/ark:/12148/bpt6k9612595c	Michel-Lévy frères (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/saint-rene-taillandier_realisme-epique.xml	1863_saint-renetaillandier	Saint-René Taillandier (1817-1879)	1863	Le réalisme épique dans le roman	http://obvil.paris-sorbonne.fr/corpus/critique/saint-rene-taillandier_realisme-epique/	
http://obvil.github.io/critique2000/tei/1831_saint-romain.xml	1831_saint-romain	Saint-Romain, A.-L.	1831	Coup d'oeil sur les théâtres du royaume / par M. A.-L. Saint-Romain	http://gallica.bnf.fr/ark:/12148/bpt6k5832506k	impr. de Everat (Paris)
http://obvil.github.io/critique2000/tei/1869_saint-victor.xml	1869_saint-victor	Saint-Victor, Paul de (1827-1881)	1869	Lamartine : avec un portrait gravé sur acier / Paul de Saint-Victor	http://gallica.bnf.fr/ark:/12148/bpt6k6366029x	L. Hachette et Cie (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/st-victor_masques1.xml	1880_saint-victor	Saint-Victor, Paul de (1827-1881)	1880	Les deux masques. Première série. I, Les antiques. Eschyle : tragédie-comédie.	http://obvil.paris-sorbonne.fr/corpus/critique/st-victor_masques1/	
http://obvil.github.io/critique2000/tei/1880_saint-victor_2.xml	1880_saint-victor_2	Saint-Victor, Paul de (1827-1881)	1880	Les deux masques : tragédie, comédie. VOL2 / par Paul de Saint-Victor...	http://gallica.bnf.fr/ark:/12148/bpt6k118927r	Calmann Lévy (Paris)
http://obvil.github.io/critique2000/tei/1880_saint-victor_3.xml	1880_saint-victor_3	Saint-Victor, Paul de (1827-1881)	1880	Les deux masques : tragédie, comédie. VOL3 / par Paul de Saint-Victor...	http://gallica.bnf.fr/ark:/12148/bpt6k1189284	Calmann Lévy (Paris)
http://obvil-dev.paris-sorbonne.fr/corpus/critique/st-victor_hommes-dieux.xml	1882_saint-victor	Saint-Victor, Paul de (1827-1881)	1882	Hommes et dieux : études d’histoire et de littérature	http://obvil.paris-sorbonne.fr/corpus/critique/st-victor_hommes-dieux/	
